sample,transcript_id,TPM,gene,biotype
CD8_MPEC_2,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
CD8_MPEC_2,ENSMUST00000144588,1.066783,Gapdh,retained_intron
CD8_MPEC_2,ENSMUST00000100497,12278.389068,Actb,protein_coding
CD8_MPEC_2,ENSMUST00000196997,0,Actb,protein_coding_CDS_not_defined
CD8_MPEC_2,ENSMUST00000167721,17.652156,Actb,protein_coding
CD8_MPEC_2,ENSMUST00000171419,54.586664,Actb,protein_coding
CD8_MPEC_2,ENSMUST00000167386,1.532266,Actb,protein_coding_CDS_not_defined
CD8_MPEC_2,ENSMUST00000163829,126.33471,Actb,protein_coding
CD8_MPEC_2,ENSMUST00000106216,0,Actb,protein_coding
CD8_MPEC_2,ENSMUST00000165629,17.004871,Actb,retained_intron
CD8_MPEC_2,ENSMUST00000164765,7.144458,Actb,retained_intron
CD8_Naive_1,ENSMUST00000168919,3.312054,Klrk1,protein_coding
CD8_Naive_1,ENSMUST00000032252,0,Klrk1,protein_coding
CD8_Naive_1,ENSMUST00000095412,0,Klrk1,protein_coding
CD8_Naive_1,ENSMUST00000152256,4.224405,Klrk1,retained_intron
CD8_Naive_1,ENSMUST00000137660,0,Klrk1,retained_intron
CD8_Naive_1,ENSMUST00000204694,1.060552,Klrk1,retained_intron
CD8_Naive_1,ENSMUST00000192506,2.139397,Gapdh,retained_intron
CD8_Naive_1,ENSMUST00000147954,2.036626,Gapdh,retained_intron
CD8_Naive_1,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_Naive_1,ENSMUST00000118875,310.01527,Gapdh,protein_coding
CD8_Naive_1,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_Naive_1,ENSMUST00000183272,0,Gapdh,protein_coding
CD8_Naive_1,ENSMUST00000182464,0,Gapdh,retained_intron
CD8_Naive_1,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_Naive_1,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_Naive_1,ENSMUST00000182052,0,Gapdh,protein_coding
CD8_Naive_1,ENSMUST00000182277,0.986092,Gapdh,protein_coding
CD8_Naive_1,ENSMUST00000182670,1.852044,Gapdh,protein_coding_CDS_not_defined
CD8_Naive_1,ENSMUST00000144588,0,Gapdh,retained_intron
CD8_Naive_1,ENSMUST00000100497,10676.930531,Actb,protein_coding
CD8_Naive_1,ENSMUST00000196997,2916.527102,Actb,protein_coding_CDS_not_defined
CD8_Naive_1,ENSMUST00000167721,0,Actb,protein_coding
CD8_Naive_1,ENSMUST00000171419,0.646216,Actb,protein_coding
CD8_Naive_1,ENSMUST00000167386,0,Actb,protein_coding_CDS_not_defined
CD8_Naive_1,ENSMUST00000163829,0,Actb,protein_coding
CD8_Naive_1,ENSMUST00000106216,0,Actb,protein_coding
CD8_Naive_1,ENSMUST00000165629,24.149094,Actb,retained_intron
CD8_Naive_1,ENSMUST00000164765,13.591418000000001,Actb,retained_intron
CD8_Naive_2,ENSMUST00000168919,2.368232,Klrk1,protein_coding
CD8_Naive_2,ENSMUST00000032252,0,Klrk1,protein_coding
CD8_Naive_2,ENSMUST00000095412,2.584306,Klrk1,protein_coding
CD8_Naive_2,ENSMUST00000152256,6.396693,Klrk1,retained_intron
CD8_Naive_2,ENSMUST00000137660,0,Klrk1,retained_intron
CD8_Naive_2,ENSMUST00000204694,1.180479,Klrk1,retained_intron
CD8_Naive_2,ENSMUST00000192506,2.633864,Gapdh,retained_intron
CD8_Naive_2,ENSMUST00000147954,0,Gapdh,retained_intron
CD8_Naive_2,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_Naive_2,ENSMUST00000118875,486.405747,Gapdh,protein_coding
CD8_Naive_2,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_Naive_2,ENSMUST00000183272,0,Gapdh,protein_coding
CD8_Naive_2,ENSMUST00000182464,0,Gapdh,retained_intron
CD8_Naive_2,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_Naive_2,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_Naive_2,ENSMUST00000182052,0,Gapdh,protein_coding
CD8_Naive_2,ENSMUST00000182277,0,Gapdh,protein_coding
CD8_Naive_2,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
CD8_Naive_2,ENSMUST00000144588,1.428257,Gapdh,retained_intron
CD8_Naive_2,ENSMUST00000100497,4038.327857,Actb,protein_coding
CD8_Naive_2,ENSMUST00000196997,0,Actb,protein_coding_CDS_not_defined
CD8_Naive_2,ENSMUST00000167721,281.760999,Actb,protein_coding
CD8_Naive_2,ENSMUST00000171419,2969.873165,Actb,protein_coding
CD8_Naive_2,ENSMUST00000167386,11.190514,Actb,protein_coding_CDS_not_defined
CD8_Naive_2,ENSMUST00000163829,91.649397,Actb,protein_coding
CD8_Naive_2,ENSMUST00000106216,0,Actb,protein_coding
CD8_Naive_2,ENSMUST00000165629,15.866185,Actb,retained_intron
CD8_Naive_2,ENSMUST00000164765,14.231605,Actb,retained_intron
CD8_Tcm_1,ENSMUST00000168919,87.486877,Klrk1,protein_coding
CD8_Tcm_1,ENSMUST00000032252,231.903366,Klrk1,protein_coding
CD8_Tcm_1,ENSMUST00000095412,0,Klrk1,protein_coding
CD8_Tcm_1,ENSMUST00000152256,57.179358,Klrk1,retained_intron
CD8_Tcm_1,ENSMUST00000137660,77.022922,Klrk1,retained_intron
CD8_Tcm_1,ENSMUST00000204694,18.703144,Klrk1,retained_intron
CD8_Tcm_1,ENSMUST00000192506,1.520804,Gapdh,retained_intron
CD8_Tcm_1,ENSMUST00000147954,8.261581,Gapdh,retained_intron
CD8_Tcm_1,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_Tcm_1,ENSMUST00000118875,489.588876,Gapdh,protein_coding
CD8_Tcm_1,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_Tcm_1,ENSMUST00000183272,25.921361,Gapdh,protein_coding
CD8_Tcm_1,ENSMUST00000182464,0,Gapdh,retained_intron
CD8_Tcm_1,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_Tcm_1,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_Tcm_1,ENSMUST00000182052,0,Gapdh,protein_coding
CD8_Tcm_1,ENSMUST00000182277,0,Gapdh,protein_coding
CD8_Tcm_1,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
CD8_Tcm_1,ENSMUST00000144588,1.782003,Gapdh,retained_intron
CD8_Tcm_1,ENSMUST00000100497,10884.613191,Actb,protein_coding
CD8_Tcm_1,ENSMUST00000196997,1635.285314,Actb,protein_coding_CDS_not_defined
CD8_Tcm_1,ENSMUST00000167721,2.097876,Actb,protein_coding
CD8_Tcm_1,ENSMUST00000171419,3.706532,Actb,protein_coding
CD8_Tcm_1,ENSMUST00000167386,2.09678,Actb,protein_coding_CDS_not_defined
CD8_Tcm_1,ENSMUST00000163829,0,Actb,protein_coding
CD8_Tcm_1,ENSMUST00000106216,1.217976,Actb,protein_coding
CD8_Tcm_1,ENSMUST00000165629,18.644156,Actb,retained_intron
CD8_Tcm_1,ENSMUST00000164765,7.753946,Actb,retained_intron
CD8_Tcm_2,ENSMUST00000168919,82.181885,Klrk1,protein_coding
CD8_Tcm_2,ENSMUST00000032252,229.140293,Klrk1,protein_coding
CD8_Tcm_2,ENSMUST00000095412,0,Klrk1,protein_coding
CD8_Tcm_2,ENSMUST00000152256,53.347813,Klrk1,retained_intron
CD8_Tcm_2,ENSMUST00000137660,104.241213,Klrk1,retained_intron
CD8_Tcm_2,ENSMUST00000204694,16.530251,Klrk1,retained_intron
CD8_Tcm_2,ENSMUST00000192506,3.001685,Gapdh,retained_intron
CD8_Tcm_2,ENSMUST00000147954,3.802286,Gapdh,retained_intron
CD8_Tcm_2,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_Tcm_2,ENSMUST00000118875,586.525799,Gapdh,protein_coding
CD8_Tcm_2,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_Tcm_2,ENSMUST00000183272,0,Gapdh,protein_coding
CD8_Tcm_2,ENSMUST00000182464,6.225618,Gapdh,retained_intron
CD8_Tcm_2,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_Tcm_2,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_Tcm_2,ENSMUST00000182052,0,Gapdh,protein_coding
CD8_Tcm_2,ENSMUST00000182277,0,Gapdh,protein_coding
CD8_Tcm_2,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
CD8_Tcm_2,ENSMUST00000144588,5.510134,Gapdh,retained_intron
CD8_Tcm_2,ENSMUST00000100497,5249.318344,Actb,protein_coding
CD8_Tcm_2,ENSMUST00000196997,0,Actb,protein_coding_CDS_not_defined
CD8_Tcm_2,ENSMUST00000167721,19.547271,Actb,protein_coding
CD8_Tcm_2,ENSMUST00000171419,1229.32834,Actb,protein_coding
CD8_Tcm_2,ENSMUST00000167386,11.05845,Actb,protein_coding_CDS_not_defined
CD8_Tcm_2,ENSMUST00000163829,138.455064,Actb,protein_coding
CD8_Tcm_2,ENSMUST00000106216,0,Actb,protein_coding
CD8_Tcm_2,ENSMUST00000165629,14.051096,Actb,retained_intron
CD8_Tcm_2,ENSMUST00000164765,11.886945,Actb,retained_intron
Healthy_CD4Nve_1,ENSMUST00000168919,0.535791,Klrk1,protein_coding
Healthy_CD4Nve_1,ENSMUST00000032252,0,Klrk1,protein_coding
Healthy_CD4Nve_1,ENSMUST00000095412,0,Klrk1,protein_coding
Healthy_CD4Nve_1,ENSMUST00000152256,0.206026,Klrk1,retained_intron
Healthy_CD4Nve_1,ENSMUST00000137660,0,Klrk1,retained_intron
Healthy_CD4Nve_1,ENSMUST00000204694,0.088106,Klrk1,retained_intron
Healthy_CD4Nve_1,ENSMUST00000192506,2.983908,Gapdh,retained_intron
Healthy_CD4Nve_1,ENSMUST00000147954,4.969593,Gapdh,retained_intron
Healthy_CD4Nve_1,ENSMUST00000117757,0,Gapdh,protein_coding
Healthy_CD4Nve_1,ENSMUST00000118875,367.284492,Gapdh,protein_coding
Healthy_CD4Nve_1,ENSMUST00000073605,0,Gapdh,protein_coding
Healthy_CD4Nve_1,ENSMUST00000183272,0,Gapdh,protein_coding
Healthy_CD4Nve_1,ENSMUST00000182464,0,Gapdh,retained_intron
Healthy_CD4Nve_1,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_1,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_1,ENSMUST00000182052,0,Gapdh,protein_coding
Healthy_CD4Nve_1,ENSMUST00000182277,0,Gapdh,protein_coding
Healthy_CD4Nve_1,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_1,ENSMUST00000144588,5.527346,Gapdh,retained_intron
Healthy_CD4Nve_1,ENSMUST00000100497,10498.744467,Actb,protein_coding
Healthy_CD4Nve_1,ENSMUST00000196997,1547.533641,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_1,ENSMUST00000167721,2.699368,Actb,protein_coding
Healthy_CD4Nve_1,ENSMUST00000171419,2.884917,Actb,protein_coding
Healthy_CD4Nve_1,ENSMUST00000167386,1.276316,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_1,ENSMUST00000163829,1.4375,Actb,protein_coding
Healthy_CD4Nve_1,ENSMUST00000106216,0,Actb,protein_coding
Healthy_CD4Nve_1,ENSMUST00000165629,30.707932,Actb,retained_intron
Healthy_CD4Nve_1,ENSMUST00000164765,6.420933,Actb,retained_intron
Healthy_CD4Nve_2,ENSMUST00000168919,0.168533,Klrk1,protein_coding
Healthy_CD4Nve_2,ENSMUST00000032252,0,Klrk1,protein_coding
Healthy_CD4Nve_2,ENSMUST00000095412,0,Klrk1,protein_coding
Healthy_CD4Nve_2,ENSMUST00000152256,0.404705,Klrk1,retained_intron
Healthy_CD4Nve_2,ENSMUST00000137660,0,Klrk1,retained_intron
Healthy_CD4Nve_2,ENSMUST00000204694,0.566104,Klrk1,retained_intron
Healthy_CD4Nve_2,ENSMUST00000192506,3.524165,Gapdh,retained_intron
Healthy_CD4Nve_2,ENSMUST00000147954,0,Gapdh,retained_intron
Healthy_CD4Nve_2,ENSMUST00000117757,0,Gapdh,protein_coding
Healthy_CD4Nve_2,ENSMUST00000118875,358.924607,Gapdh,protein_coding
Healthy_CD4Nve_2,ENSMUST00000073605,0,Gapdh,protein_coding
Healthy_CD4Nve_2,ENSMUST00000183272,0,Gapdh,protein_coding
Healthy_CD4Nve_2,ENSMUST00000182464,0,Gapdh,retained_intron
Healthy_CD4Nve_2,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_2,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_2,ENSMUST00000182052,0,Gapdh,protein_coding
Healthy_CD4Nve_2,ENSMUST00000182277,0,Gapdh,protein_coding
Healthy_CD4Nve_2,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_2,ENSMUST00000144588,3.006707,Gapdh,retained_intron
Healthy_CD4Nve_2,ENSMUST00000100497,6561.070236,Actb,protein_coding
Healthy_CD4Nve_2,ENSMUST00000196997,0,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_2,ENSMUST00000167721,5.309013,Actb,protein_coding
Healthy_CD4Nve_2,ENSMUST00000171419,593.833515,Actb,protein_coding
Healthy_CD4Nve_2,ENSMUST00000167386,15.635308,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_2,ENSMUST00000163829,0,Actb,protein_coding
Healthy_CD4Nve_2,ENSMUST00000106216,6.614337,Actb,protein_coding
Healthy_CD4Nve_2,ENSMUST00000165629,45.791432,Actb,retained_intron
Healthy_CD4Nve_2,ENSMUST00000164765,21.349996,Actb,retained_intron
Healthy_CD4Nve_3,ENSMUST00000168919,0.141977,Klrk1,protein_coding
Healthy_CD4Nve_3,ENSMUST00000032252,0,Klrk1,protein_coding
Healthy_CD4Nve_3,ENSMUST00000095412,0,Klrk1,protein_coding
Healthy_CD4Nve_3,ENSMUST00000152256,0.190276,Klrk1,retained_intron
Healthy_CD4Nve_3,ENSMUST00000137660,0,Klrk1,retained_intron
Healthy_CD4Nve_3,ENSMUST00000204694,0.082107,Klrk1,retained_intron
Healthy_CD4Nve_3,ENSMUST00000192506,2.553375,Gapdh,retained_intron
Healthy_CD4Nve_3,ENSMUST00000147954,0,Gapdh,retained_intron
Healthy_CD4Nve_3,ENSMUST00000117757,0,Gapdh,protein_coding
Healthy_CD4Nve_3,ENSMUST00000118875,292.44382,Gapdh,protein_coding
Healthy_CD4Nve_3,ENSMUST00000073605,0,Gapdh,protein_coding
Healthy_CD4Nve_3,ENSMUST00000183272,0,Gapdh,protein_coding
Healthy_CD4Nve_3,ENSMUST00000182464,0,Gapdh,retained_intron
Healthy_CD4Nve_3,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_3,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_3,ENSMUST00000182052,2.724949,Gapdh,protein_coding
Healthy_CD4Nve_3,ENSMUST00000182277,0,Gapdh,protein_coding
Healthy_CD4Nve_3,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_3,ENSMUST00000144588,0,Gapdh,retained_intron
Healthy_CD4Nve_3,ENSMUST00000100497,9355.281951,Actb,protein_coding
Healthy_CD4Nve_3,ENSMUST00000196997,1569.05635,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_3,ENSMUST00000167721,2.300784,Actb,protein_coding
Healthy_CD4Nve_3,ENSMUST00000171419,3.240429,Actb,protein_coding
Healthy_CD4Nve_3,ENSMUST00000167386,0,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_3,ENSMUST00000163829,0,Actb,protein_coding
Healthy_CD4Nve_3,ENSMUST00000106216,0,Actb,protein_coding
Healthy_CD4Nve_3,ENSMUST00000165629,12.554736,Actb,retained_intron
Healthy_CD4Nve_3,ENSMUST00000164765,3.356586,Actb,retained_intron
Healthy_CD4Nve_4,ENSMUST00000168919,0.051081,Klrk1,protein_coding
Healthy_CD4Nve_4,ENSMUST00000032252,0,Klrk1,protein_coding
Healthy_CD4Nve_4,ENSMUST00000095412,0,Klrk1,protein_coding
Healthy_CD4Nve_4,ENSMUST00000152256,0.474679,Klrk1,retained_intron
Healthy_CD4Nve_4,ENSMUST00000137660,0,Klrk1,retained_intron
Healthy_CD4Nve_4,ENSMUST00000204694,0.129825,Klrk1,retained_intron
Healthy_CD4Nve_4,ENSMUST00000192506,2.195869,Gapdh,retained_intron
Healthy_CD4Nve_4,ENSMUST00000147954,0,Gapdh,retained_intron
Healthy_CD4Nve_4,ENSMUST00000117757,0,Gapdh,protein_coding
Healthy_CD4Nve_4,ENSMUST00000118875,422.178285,Gapdh,protein_coding
Healthy_CD4Nve_4,ENSMUST00000073605,0,Gapdh,protein_coding
Healthy_CD4Nve_4,ENSMUST00000183272,0,Gapdh,protein_coding
Healthy_CD4Nve_4,ENSMUST00000182464,0,Gapdh,retained_intron
Healthy_CD4Nve_4,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_4,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_4,ENSMUST00000182052,0,Gapdh,protein_coding
Healthy_CD4Nve_4,ENSMUST00000182277,0,Gapdh,protein_coding
Healthy_CD4Nve_4,ENSMUST00000182670,9.778996,Gapdh,protein_coding_CDS_not_defined
Healthy_CD4Nve_4,ENSMUST00000144588,1.815683,Gapdh,retained_intron
Healthy_CD4Nve_4,ENSMUST00000100497,6905.657551,Actb,protein_coding
Healthy_CD4Nve_4,ENSMUST00000196997,0,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_4,ENSMUST00000167721,3.372681,Actb,protein_coding
Healthy_CD4Nve_4,ENSMUST00000171419,238.122483,Actb,protein_coding
Healthy_CD4Nve_4,ENSMUST00000167386,0,Actb,protein_coding_CDS_not_defined
Healthy_CD4Nve_4,ENSMUST00000163829,0,Actb,protein_coding
Healthy_CD4Nve_4,ENSMUST00000106216,0,Actb,protein_coding
Healthy_CD4Nve_4,ENSMUST00000165629,15.54716,Actb,retained_intron
Healthy_CD4Nve_4,ENSMUST00000164765,12.414839,Actb,retained_intron
Healthy_CD8Nve_1,ENSMUST00000168919,5.461764,Klrk1,protein_coding
Healthy_CD8Nve_1,ENSMUST00000032252,0,Klrk1,protein_coding
Healthy_CD8Nve_1,ENSMUST00000095412,0,Klrk1,protein_coding
Healthy_CD8Nve_1,ENSMUST00000152256,4.582762,Klrk1,retained_intron
Healthy_CD8Nve_1,ENSMUST00000137660,0,Klrk1,retained_intron
Healthy_CD8Nve_1,ENSMUST00000204694,1.207826,Klrk1,retained_intron
Healthy_CD8Nve_1,ENSMUST00000192506,0.224528,Gapdh,retained_intron
Healthy_CD8Nve_1,ENSMUST00000147954,0,Gapdh,retained_intron
Healthy_CD8Nve_1,ENSMUST00000117757,2.202681,Gapdh,protein_coding
Healthy_CD8Nve_1,ENSMUST00000118875,312.85003,Gapdh,protein_coding
Healthy_CD8Nve_1,ENSMUST00000073605,0,Gapdh,protein_coding
Healthy_CD8Nve_1,ENSMUST00000183272,0,Gapdh,protein_coding
Healthy_CD8Nve_1,ENSMUST00000182464,0,Gapdh,retained_intron
Healthy_CD8Nve_1,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD8Nve_1,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD8Nve_1,ENSMUST00000182052,0,Gapdh,protein_coding
Healthy_CD8Nve_1,ENSMUST00000182277,0,Gapdh,protein_coding
Healthy_CD8Nve_1,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD8Nve_1,ENSMUST00000144588,0,Gapdh,retained_intron
Healthy_CD8Nve_1,ENSMUST00000100497,8304.789029,Actb,protein_coding
Healthy_CD8Nve_1,ENSMUST00000196997,1649.409146,Actb,protein_coding_CDS_not_defined
Healthy_CD8Nve_1,ENSMUST00000167721,1.676858,Actb,protein_coding
Healthy_CD8Nve_1,ENSMUST00000171419,1.648052,Actb,protein_coding
Healthy_CD8Nve_1,ENSMUST00000167386,0.738891,Actb,protein_coding_CDS_not_defined
Healthy_CD8Nve_1,ENSMUST00000163829,0,Actb,protein_coding
Healthy_CD8Nve_1,ENSMUST00000106216,3.313729,Actb,protein_coding
Healthy_CD8Nve_1,ENSMUST00000165629,6.720181,Actb,retained_intron
Healthy_CD8Nve_1,ENSMUST00000164765,2.238265,Actb,retained_intron
Healthy_CD8Nve_2,ENSMUST00000168919,6.231692,Klrk1,protein_coding
Healthy_CD8Nve_2,ENSMUST00000032252,0,Klrk1,protein_coding
Healthy_CD8Nve_2,ENSMUST00000095412,0,Klrk1,protein_coding
Healthy_CD8Nve_2,ENSMUST00000152256,10.75432,Klrk1,retained_intron
Healthy_CD8Nve_2,ENSMUST00000137660,0,Klrk1,retained_intron
Healthy_CD8Nve_2,ENSMUST00000204694,1.785651,Klrk1,retained_intron
Healthy_CD8Nve_2,ENSMUST00000192506,2.013166,Gapdh,retained_intron
Healthy_CD8Nve_2,ENSMUST00000147954,0,Gapdh,retained_intron
Healthy_CD8Nve_2,ENSMUST00000117757,0,Gapdh,protein_coding
Healthy_CD8Nve_2,ENSMUST00000118875,389.629751,Gapdh,protein_coding
Healthy_CD8Nve_2,ENSMUST00000073605,0,Gapdh,protein_coding
Healthy_CD8Nve_2,ENSMUST00000183272,0,Gapdh,protein_coding
Healthy_CD8Nve_2,ENSMUST00000182464,0,Gapdh,retained_intron
Healthy_CD8Nve_2,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
Healthy_CD8Nve_2,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
